Fixed Data,New Date,Payload,Vehicle,Company,Site
"Mar 4, 2021 ",,Starlink v1.0-17 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 4, 2016 ",,SES-9,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 4, 2010 ",,GOES-P,Delta IV,Boeing Launch Services,FL
"Mar 31, 2022 ",,NS-20/M18,New Shepard System,Blue Origin,TX
"Mar 30, 2021 ",,SN11 ,Starship Prototype,Space Exploration Technologies Corporation,TX
"Mar 30, 2018 ",,Iridium-5,Falcon 9,Space Exploration Technologies Corporation,CA
"Mar 30, 2017 ",,SES-10,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 30, 1998 ",,IRIDIUM 8,Delta II,McDonnell Douglas Corporation,CA
"Mar 3, 2022 ",,Starlink Group 4-9 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 3, 2021 ",,SN10 Suborbital Flight ,Starship Prototype,Space Exploration Technologies Corporation,TX
"Mar 29, 1989 ",,CONSORT-1 ,Starfire,Space Services,NM
"Mar 28, 2019 ",,Yellowfin ,Electron,Rocket Lab USA,NZ
"Mar 28, 1999 ",,Mass Simulator,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Mar 25, 1993 ",,UHF-1 ,Atlas I,General Dynamics,FL
"Mar 24, 2021 ",,Starlink v1.0-22 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 22, 2021 ",,"F19 ""They Go Up So Fast"" ",Electron,Rocket Lab Global,NZ
"Mar 22, 2016 ",,OA-6 Cygnus,Atlas V,United Launch Alliance,FL
"Mar 22, 1995 ",,INTELSAT-VII-705 ,Atlas IIAS,Martin Marrietta,FL
"Mar 2, 2019 ",,M1 ,SARGE,Exos Aerospace,NM
